"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Cayman Islands,31472,,37.0,,8553.0,,22882.0,1,"467,797",550,"222,773","3,311,280","67,277",North America,2,"1,818",0,,,"340,116"
Saint Lucia,30052,,409.0,,29095.0,,548.0,,"162,344","2,209","210,983","1,139,752","185,113",North America,6,453,1,,,"2,960"
Benin,28014,,163.0,,27847.0,,4.0,,"2,191",13,"604,310","47,268","12,784,726",Africa,456,"78,434",21,,,0.3
Somalia,27334,,1361.0,,13182.0,,12791.0,,"1,623",81,"400,466","23,778","16,841,795",Africa,616,"12,375",42,,,759
Congo,25375,,386.0,,24006.0,,983.0,,"4,377",67,"347,815","59,991","5,797,805",Africa,228,"15,020",17,,,170
San Marino,24298,,125.0,,24167.0,,6.0,4,"712,865","3,667","196,855","5,775,414","34,085",Europe,1,273,0,,,176
Timor-Leste,23450,,138.0,,23102.0,,210.0,,"17,124",101,"278,529","203,391","1,369,429",Asia,58,"9,923",5,,,153
Burkina Faso,22056,,396.0,,21596.0,,64.0,,998,18,"248,995","11,265","22,102,838",Africa,"1,002","55,815",89,,,3
Liechtenstein,21446,,94.0,,21351.0,,1.0,,"558,679","2,449","112,457","2,929,559","38,387",Europe,2,408,0,,,26
Gibraltar,20550,,113.0,,16579.0,,3858.0,,"609,720","3,353","534,283","15,852,213","33,704",Europe,2,298,0,,,"114,467"
Grenada,19693,,238.0,,19358.0,,97.0,4,"173,545","2,097","182,981","1,612,523","113,475",North America,6,477,1,,,855
Bermuda,18860,,165.0,,18685.0,,10.0,,"304,493","2,664","1,029,558","16,622,128","61,939",North America,3,375,0,,,161
Nicaragua,18491,,225.0,,4225.0,,14041.0,,"2,728",33,,,"6,779,100",North America,367,"30,129",,,,"2,071"
South Sudan,18368,,138.0,,18115.0,,115.0,1,"1,581",12,"410,280","35,313","11,618,511",Africa,633,"84,192",28,,,10
Tajikistan,17786,,125.0,,17264.0,,397.0,,"1,786",13,,,"9,957,464",Asia,560,"79,660",,,,40
Equatorial Guinea,17229,,183.0,,16907.0,,139.0,5,"11,512",122,"365,697","244,342","1,496,662",Africa,87,"8,178",4,,,93
Tonga,16817,,13.0,,15638.0,,1166.0,,"156,076",121,"535,009","4,965,327","107,749",Australia/Oceania,6,"8,288",0,,,"10,821"
Monaco,16793,,67.0,,15992.0,,734.0,4,"422,115","1,684","78,646","1,976,875","39,783",Europe,2,594,1,,,"18,450"
Samoa,16763,,31.0,,1605.0,,15127.0,,"82,887",153,"187,397","926,612","202,239",Australia/Oceania,12,"6,524",1,,,"74,798"
Marshall Islands,16098,,17.0,,16079.0,,2.0,,"268,045",283,,,"60,057",Australia/Oceania,4,"3,533",,,,33
